0,"[{'x': 19, 'y': 126, 'size': 2}, {'x': 33, 'y': 148, 'size': 2}, {'x': 16, 'y': 187, 'size': 2}, {'x': 38, 'y': 187, 'size': 2}, {'x': 2, 'y': 193, 'size': 2}, {'x': 3, 'y': 208, 'size': 2}, {'x': 31, 'y': 210, 'size': 2}, {'x': 23, 'y': 299, 'size': 2}, {'x': 12, 'y': 337, 'size': 2}, {'x': 14, 'y': 355, 'size': 2}, {'x': 5, 'y': 371, 'size': 2}, {'x': 24, 'y': 386, 'size': 2}, {'x': 4, 'y': 395, 'size': 2}, {'x': 2, 'y': 457, 'size': 2}]"
1,"[{'x': 13, 'y': 72, 'size': 2}, {'x': 28, 'y': 164, 'size': 2}, {'x': 16, 'y': 171, 'size': 2}, {'x': 5, 'y': 188, 'size': 2}, {'x': 34, 'y': 188, 'size': 2}, {'x': 6, 'y': 196, 'size': 2}, {'x': 6, 'y': 200, 'size': 2}, {'x': 18, 'y': 302, 'size': 2}, {'x': 17, 'y': 328, 'size': 2}, {'x': 18, 'y': 336, 'size': 2}, {'x': 23, 'y': 341, 'size': 2}, {'x': 28, 'y': 383, 'size': 2}, {'x': 7, 'y': 425, 'size': 2}, {'x': 26, 'y': 450, 'size': 2}]"
2,"[{'x': 18, 'y': 149, 'size': 2}, {'x': 6, 'y': 161, 'size': 2}, {'x': 12, 'y': 170, 'size': 2}, {'x': 32, 'y': 170, 'size': 2}, {'x': 29, 'y': 217, 'size': 2}, {'x': 36, 'y': 241, 'size': 2}, {'x': 3, 'y': 248, 'size': 2}, {'x': 20, 'y': 348, 'size': 2}, {'x': 21, 'y': 362, 'size': 2}, {'x': 39, 'y': 371, 'size': 2}, {'x': 6, 'y': 387, 'size': 2}, {'x': 28, 'y': 430, 'size': 2}, {'x': 17, 'y': 442, 'size': 2}, {'x': 9, 'y': 445, 'size': 2}]"
3,"[{'x': 17, 'y': 68, 'size': 2}, {'x': 15, 'y': 86, 'size': 2}, {'x': 28, 'y': 166, 'size': 2}, {'x': 12, 'y': 179, 'size': 2}, {'x': 31, 'y': 236, 'size': 2}, {'x': 23, 'y': 239, 'size': 2}, {'x': 28, 'y': 242, 'size': 2}, {'x': 10, 'y': 297, 'size': 2}, {'x': 4, 'y': 321, 'size': 2}, {'x': 21, 'y': 359, 'size': 2}, {'x': 33, 'y': 362, 'size': 2}, {'x': 5, 'y': 377, 'size': 2}, {'x': 31, 'y': 379, 'size': 2}, {'x': 30, 'y': 414, 'size': 2}]"
4,"[{'x': 26, 'y': 107, 'size': 2}, {'x': 16, 'y': 137, 'size': 2}, {'x': 12, 'y': 137, 'size': 2}, {'x': 26, 'y': 154, 'size': 2}, {'x': 10, 'y': 158, 'size': 2}, {'x': 7, 'y': 175, 'size': 2}, {'x': 37, 'y': 210, 'size': 2}, {'x': 39, 'y': 293, 'size': 2}, {'x': 34, 'y': 296, 'size': 2}, {'x': 36, 'y': 311, 'size': 2}, {'x': 5, 'y': 336, 'size': 2}, {'x': 8, 'y': 397, 'size': 2}, {'x': 17, 'y': 403, 'size': 2}, {'x': 7, 'y': 426, 'size': 2}]"
5,"[{'x': 6, 'y': 86, 'size': 2}, {'x': 25, 'y': 103, 'size': 2}, {'x': 14, 'y': 124, 'size': 2}, {'x': 19, 'y': 163, 'size': 2}, {'x': 39, 'y': 227, 'size': 2}, {'x': 30, 'y': 228, 'size': 2}, {'x': 10, 'y': 235, 'size': 2}, {'x': 10, 'y': 307, 'size': 2}, {'x': 26, 'y': 371, 'size': 2}, {'x': 18, 'y': 375, 'size': 2}, {'x': 38, 'y': 404, 'size': 2}, {'x': 36, 'y': 418, 'size': 2}, {'x': 2, 'y': 422, 'size': 2}, {'x': 35, 'y': 452, 'size': 2}]"
6,"[{'x': 35, 'y': 117, 'size': 2}, {'x': 31, 'y': 120, 'size': 2}, {'x': 13, 'y': 148, 'size': 2}, {'x': 6, 'y': 163, 'size': 2}, {'x': 16, 'y': 214, 'size': 2}, {'x': 39, 'y': 230, 'size': 2}, {'x': 24, 'y': 248, 'size': 2}, {'x': 18, 'y': 300, 'size': 2}, {'x': 4, 'y': 325, 'size': 2}, {'x': 28, 'y': 388, 'size': 2}, {'x': 11, 'y': 390, 'size': 2}, {'x': 39, 'y': 418, 'size': 2}, {'x': 11, 'y': 428, 'size': 2}, {'x': 14, 'y': 457, 'size': 2}]"
7,"[{'x': 4, 'y': 69, 'size': 2}, {'x': 17, 'y': 106, 'size': 2}, {'x': 21, 'y': 106, 'size': 2}, {'x': 4, 'y': 139, 'size': 2}, {'x': 4, 'y': 182, 'size': 2}, {'x': 25, 'y': 219, 'size': 2}, {'x': 39, 'y': 230, 'size': 2}, {'x': 10, 'y': 301, 'size': 2}, {'x': 27, 'y': 304, 'size': 2}, {'x': 39, 'y': 333, 'size': 2}, {'x': 33, 'y': 401, 'size': 2}, {'x': 7, 'y': 426, 'size': 2}, {'x': 3, 'y': 436, 'size': 2}, {'x': 6, 'y': 460, 'size': 2}]"
8,"[{'x': 14, 'y': 84, 'size': 2}, {'x': 38, 'y': 106, 'size': 2}, {'x': 27, 'y': 128, 'size': 2}, {'x': 25, 'y': 185, 'size': 2}, {'x': 2, 'y': 199, 'size': 2}, {'x': 30, 'y': 224, 'size': 2}, {'x': 9, 'y': 225, 'size': 2}, {'x': 7, 'y': 321, 'size': 2}, {'x': 26, 'y': 365, 'size': 2}, {'x': 10, 'y': 383, 'size': 2}, {'x': 32, 'y': 385, 'size': 2}, {'x': 32, 'y': 386, 'size': 2}, {'x': 8, 'y': 398, 'size': 2}, {'x': 2, 'y': 420, 'size': 2}]"
9,"[{'x': 31, 'y': 79, 'size': 2}, {'x': 19, 'y': 122, 'size': 2}, {'x': 21, 'y': 148, 'size': 2}, {'x': 20, 'y': 173, 'size': 2}, {'x': 39, 'y': 190, 'size': 2}, {'x': 30, 'y': 224, 'size': 2}, {'x': 19, 'y': 243, 'size': 2}, {'x': 23, 'y': 297, 'size': 2}, {'x': 39, 'y': 299, 'size': 2}, {'x': 26, 'y': 332, 'size': 2}, {'x': 23, 'y': 345, 'size': 2}, {'x': 24, 'y': 355, 'size': 2}, {'x': 32, 'y': 381, 'size': 2}, {'x': 7, 'y': 394, 'size': 2}]"
