0,"[{'x': 22, 'y': 72, 'size': 2}, {'x': 31, 'y': 91, 'size': 2}, {'x': 11, 'y': 113, 'size': 2}, {'x': 17, 'y': 114, 'size': 2}, {'x': 2, 'y': 122, 'size': 2}, {'x': 14, 'y': 131, 'size': 2}, {'x': 9, 'y': 133, 'size': 2}, {'x': 20, 'y': 139, 'size': 2}, {'x': 28, 'y': 154, 'size': 2}, {'x': 9, 'y': 172, 'size': 2}, {'x': 26, 'y': 212, 'size': 2}, {'x': 5, 'y': 215, 'size': 2}, {'x': 2, 'y': 237, 'size': 2}, {'x': 24, 'y': 238, 'size': 2}, {'x': 9, 'y': 243, 'size': 2}, {'x': 24, 'y': 307, 'size': 2}, {'x': 23, 'y': 308, 'size': 2}, {'x': 15, 'y': 317, 'size': 2}, {'x': 16, 'y': 326, 'size': 2}, {'x': 39, 'y': 334, 'size': 2}, {'x': 31, 'y': 359, 'size': 2}, {'x': 5, 'y': 362, 'size': 2}, {'x': 17, 'y': 367, 'size': 2}, {'x': 36, 'y': 389, 'size': 2}, {'x': 37, 'y': 397, 'size': 2}, {'x': 22, 'y': 405, 'size': 2}, {'x': 6, 'y': 407, 'size': 2}, {'x': 3, 'y': 424, 'size': 2}, {'x': 16, 'y': 436, 'size': 2}, {'x': 38, 'y': 444, 'size': 2}]"
1,"[{'x': 34, 'y': 68, 'size': 2}, {'x': 9, 'y': 72, 'size': 2}, {'x': 17, 'y': 75, 'size': 2}, {'x': 5, 'y': 77, 'size': 2}, {'x': 36, 'y': 89, 'size': 2}, {'x': 15, 'y': 91, 'size': 2}, {'x': 4, 'y': 102, 'size': 2}, {'x': 25, 'y': 108, 'size': 2}, {'x': 11, 'y': 131, 'size': 2}, {'x': 12, 'y': 136, 'size': 2}, {'x': 19, 'y': 166, 'size': 2}, {'x': 26, 'y': 188, 'size': 2}, {'x': 37, 'y': 209, 'size': 2}, {'x': 35, 'y': 231, 'size': 2}, {'x': 27, 'y': 239, 'size': 2}, {'x': 17, 'y': 292, 'size': 2}, {'x': 36, 'y': 315, 'size': 2}, {'x': 37, 'y': 318, 'size': 2}, {'x': 8, 'y': 327, 'size': 2}, {'x': 30, 'y': 332, 'size': 2}, {'x': 18, 'y': 339, 'size': 2}, {'x': 3, 'y': 351, 'size': 2}, {'x': 35, 'y': 372, 'size': 2}, {'x': 32, 'y': 387, 'size': 2}, {'x': 18, 'y': 415, 'size': 2}, {'x': 11, 'y': 429, 'size': 2}, {'x': 22, 'y': 445, 'size': 2}, {'x': 9, 'y': 450, 'size': 2}, {'x': 36, 'y': 464, 'size': 2}, {'x': 28, 'y': 464, 'size': 2}]"
2,"[{'x': 2, 'y': 84, 'size': 2}, {'x': 12, 'y': 100, 'size': 2}, {'x': 24, 'y': 136, 'size': 2}, {'x': 21, 'y': 142, 'size': 2}, {'x': 34, 'y': 142, 'size': 2}, {'x': 8, 'y': 143, 'size': 2}, {'x': 34, 'y': 145, 'size': 2}, {'x': 21, 'y': 149, 'size': 2}, {'x': 27, 'y': 157, 'size': 2}, {'x': 28, 'y': 167, 'size': 2}, {'x': 7, 'y': 168, 'size': 2}, {'x': 24, 'y': 172, 'size': 2}, {'x': 16, 'y': 209, 'size': 2}, {'x': 9, 'y': 228, 'size': 2}, {'x': 2, 'y': 244, 'size': 2}, {'x': 18, 'y': 298, 'size': 2}, {'x': 2, 'y': 304, 'size': 2}, {'x': 36, 'y': 313, 'size': 2}, {'x': 29, 'y': 323, 'size': 2}, {'x': 38, 'y': 326, 'size': 2}, {'x': 39, 'y': 339, 'size': 2}, {'x': 2, 'y': 344, 'size': 2}, {'x': 26, 'y': 375, 'size': 2}, {'x': 10, 'y': 376, 'size': 2}, {'x': 31, 'y': 382, 'size': 2}, {'x': 18, 'y': 418, 'size': 2}, {'x': 19, 'y': 420, 'size': 2}, {'x': 12, 'y': 437, 'size': 2}, {'x': 4, 'y': 440, 'size': 2}, {'x': 30, 'y': 441, 'size': 2}]"
3,"[{'x': 39, 'y': 73, 'size': 2}, {'x': 11, 'y': 88, 'size': 2}, {'x': 2, 'y': 89, 'size': 2}, {'x': 33, 'y': 93, 'size': 2}, {'x': 28, 'y': 95, 'size': 2}, {'x': 24, 'y': 96, 'size': 2}, {'x': 16, 'y': 100, 'size': 2}, {'x': 8, 'y': 105, 'size': 2}, {'x': 17, 'y': 106, 'size': 2}, {'x': 34, 'y': 110, 'size': 2}, {'x': 6, 'y': 123, 'size': 2}, {'x': 15, 'y': 163, 'size': 2}, {'x': 9, 'y': 180, 'size': 2}, {'x': 19, 'y': 200, 'size': 2}, {'x': 4, 'y': 221, 'size': 2}, {'x': 25, 'y': 290, 'size': 2}, {'x': 21, 'y': 294, 'size': 2}, {'x': 7, 'y': 313, 'size': 2}, {'x': 19, 'y': 346, 'size': 2}, {'x': 17, 'y': 372, 'size': 2}, {'x': 14, 'y': 378, 'size': 2}, {'x': 27, 'y': 379, 'size': 2}, {'x': 6, 'y': 383, 'size': 2}, {'x': 32, 'y': 383, 'size': 2}, {'x': 37, 'y': 391, 'size': 2}, {'x': 9, 'y': 406, 'size': 2}, {'x': 36, 'y': 418, 'size': 2}, {'x': 36, 'y': 425, 'size': 2}, {'x': 8, 'y': 434, 'size': 2}, {'x': 35, 'y': 447, 'size': 2}]"
4,"[{'x': 10, 'y': 84, 'size': 2}, {'x': 11, 'y': 91, 'size': 2}, {'x': 29, 'y': 104, 'size': 2}, {'x': 13, 'y': 110, 'size': 2}, {'x': 11, 'y': 126, 'size': 2}, {'x': 32, 'y': 131, 'size': 2}, {'x': 20, 'y': 134, 'size': 2}, {'x': 16, 'y': 136, 'size': 2}, {'x': 28, 'y': 164, 'size': 2}, {'x': 27, 'y': 200, 'size': 2}, {'x': 36, 'y': 207, 'size': 2}, {'x': 20, 'y': 207, 'size': 2}, {'x': 15, 'y': 208, 'size': 2}, {'x': 26, 'y': 228, 'size': 2}, {'x': 14, 'y': 232, 'size': 2}, {'x': 35, 'y': 297, 'size': 2}, {'x': 13, 'y': 329, 'size': 2}, {'x': 27, 'y': 346, 'size': 2}, {'x': 29, 'y': 361, 'size': 2}, {'x': 8, 'y': 361, 'size': 2}, {'x': 4, 'y': 363, 'size': 2}, {'x': 2, 'y': 381, 'size': 2}, {'x': 19, 'y': 386, 'size': 2}, {'x': 35, 'y': 411, 'size': 2}, {'x': 18, 'y': 415, 'size': 2}, {'x': 27, 'y': 418, 'size': 2}, {'x': 32, 'y': 423, 'size': 2}, {'x': 7, 'y': 427, 'size': 2}, {'x': 33, 'y': 436, 'size': 2}, {'x': 11, 'y': 456, 'size': 2}]"
5,"[{'x': 19, 'y': 93, 'size': 2}, {'x': 32, 'y': 131, 'size': 2}, {'x': 11, 'y': 131, 'size': 2}, {'x': 29, 'y': 142, 'size': 2}, {'x': 37, 'y': 143, 'size': 2}, {'x': 38, 'y': 144, 'size': 2}, {'x': 20, 'y': 172, 'size': 2}, {'x': 14, 'y': 191, 'size': 2}, {'x': 27, 'y': 200, 'size': 2}, {'x': 3, 'y': 207, 'size': 2}, {'x': 11, 'y': 207, 'size': 2}, {'x': 20, 'y': 210, 'size': 2}, {'x': 3, 'y': 212, 'size': 2}, {'x': 5, 'y': 222, 'size': 2}, {'x': 24, 'y': 247, 'size': 2}, {'x': 35, 'y': 305, 'size': 2}, {'x': 37, 'y': 320, 'size': 2}, {'x': 39, 'y': 331, 'size': 2}, {'x': 30, 'y': 334, 'size': 2}, {'x': 2, 'y': 345, 'size': 2}, {'x': 14, 'y': 376, 'size': 2}, {'x': 8, 'y': 396, 'size': 2}, {'x': 14, 'y': 412, 'size': 2}, {'x': 22, 'y': 412, 'size': 2}, {'x': 23, 'y': 418, 'size': 2}, {'x': 24, 'y': 428, 'size': 2}, {'x': 11, 'y': 429, 'size': 2}, {'x': 7, 'y': 437, 'size': 2}, {'x': 6, 'y': 454, 'size': 2}, {'x': 36, 'y': 458, 'size': 2}]"
6,"[{'x': 30, 'y': 75, 'size': 2}, {'x': 18, 'y': 81, 'size': 2}, {'x': 10, 'y': 84, 'size': 2}, {'x': 20, 'y': 98, 'size': 2}, {'x': 27, 'y': 117, 'size': 2}, {'x': 37, 'y': 136, 'size': 2}, {'x': 13, 'y': 149, 'size': 2}, {'x': 2, 'y': 158, 'size': 2}, {'x': 39, 'y': 160, 'size': 2}, {'x': 16, 'y': 170, 'size': 2}, {'x': 7, 'y': 170, 'size': 2}, {'x': 21, 'y': 180, 'size': 2}, {'x': 34, 'y': 188, 'size': 2}, {'x': 19, 'y': 207, 'size': 2}, {'x': 11, 'y': 210, 'size': 2}, {'x': 31, 'y': 301, 'size': 2}, {'x': 21, 'y': 325, 'size': 2}, {'x': 13, 'y': 331, 'size': 2}, {'x': 19, 'y': 343, 'size': 2}, {'x': 33, 'y': 356, 'size': 2}, {'x': 17, 'y': 365, 'size': 2}, {'x': 39, 'y': 372, 'size': 2}, {'x': 23, 'y': 382, 'size': 2}, {'x': 14, 'y': 382, 'size': 2}, {'x': 7, 'y': 389, 'size': 2}, {'x': 10, 'y': 416, 'size': 2}, {'x': 32, 'y': 424, 'size': 2}, {'x': 10, 'y': 457, 'size': 2}, {'x': 32, 'y': 465, 'size': 2}, {'x': 28, 'y': 466, 'size': 2}]"
7,"[{'x': 38, 'y': 73, 'size': 2}, {'x': 27, 'y': 82, 'size': 2}, {'x': 35, 'y': 84, 'size': 2}, {'x': 29, 'y': 106, 'size': 2}, {'x': 5, 'y': 114, 'size': 2}, {'x': 36, 'y': 117, 'size': 2}, {'x': 28, 'y': 128, 'size': 2}, {'x': 37, 'y': 174, 'size': 2}, {'x': 30, 'y': 189, 'size': 2}, {'x': 30, 'y': 190, 'size': 2}, {'x': 4, 'y': 217, 'size': 2}, {'x': 38, 'y': 225, 'size': 2}, {'x': 2, 'y': 235, 'size': 2}, {'x': 6, 'y': 236, 'size': 2}, {'x': 36, 'y': 243, 'size': 2}, {'x': 38, 'y': 293, 'size': 2}, {'x': 27, 'y': 304, 'size': 2}, {'x': 21, 'y': 328, 'size': 2}, {'x': 26, 'y': 330, 'size': 2}, {'x': 18, 'y': 341, 'size': 2}, {'x': 12, 'y': 362, 'size': 2}, {'x': 18, 'y': 369, 'size': 2}, {'x': 9, 'y': 374, 'size': 2}, {'x': 6, 'y': 379, 'size': 2}, {'x': 2, 'y': 381, 'size': 2}, {'x': 29, 'y': 400, 'size': 2}, {'x': 26, 'y': 407, 'size': 2}, {'x': 36, 'y': 427, 'size': 2}, {'x': 3, 'y': 429, 'size': 2}, {'x': 3, 'y': 465, 'size': 2}]"
8,"[{'x': 13, 'y': 76, 'size': 2}, {'x': 12, 'y': 95, 'size': 2}, {'x': 15, 'y': 127, 'size': 2}, {'x': 26, 'y': 149, 'size': 2}, {'x': 5, 'y': 153, 'size': 2}, {'x': 39, 'y': 153, 'size': 2}, {'x': 31, 'y': 160, 'size': 2}, {'x': 37, 'y': 175, 'size': 2}, {'x': 4, 'y': 177, 'size': 2}, {'x': 21, 'y': 184, 'size': 2}, {'x': 28, 'y': 204, 'size': 2}, {'x': 33, 'y': 210, 'size': 2}, {'x': 21, 'y': 216, 'size': 2}, {'x': 13, 'y': 230, 'size': 2}, {'x': 7, 'y': 246, 'size': 2}, {'x': 13, 'y': 293, 'size': 2}, {'x': 23, 'y': 311, 'size': 2}, {'x': 21, 'y': 320, 'size': 2}, {'x': 6, 'y': 344, 'size': 2}, {'x': 37, 'y': 357, 'size': 2}, {'x': 2, 'y': 376, 'size': 2}, {'x': 27, 'y': 378, 'size': 2}, {'x': 37, 'y': 429, 'size': 2}, {'x': 28, 'y': 430, 'size': 2}, {'x': 24, 'y': 431, 'size': 2}, {'x': 38, 'y': 440, 'size': 2}, {'x': 9, 'y': 446, 'size': 2}, {'x': 17, 'y': 448, 'size': 2}, {'x': 35, 'y': 448, 'size': 2}, {'x': 19, 'y': 458, 'size': 2}]"
9,"[{'x': 8, 'y': 70, 'size': 2}, {'x': 25, 'y': 71, 'size': 2}, {'x': 25, 'y': 72, 'size': 2}, {'x': 36, 'y': 90, 'size': 2}, {'x': 11, 'y': 97, 'size': 2}, {'x': 19, 'y': 121, 'size': 2}, {'x': 23, 'y': 122, 'size': 2}, {'x': 2, 'y': 126, 'size': 2}, {'x': 22, 'y': 188, 'size': 2}, {'x': 35, 'y': 188, 'size': 2}, {'x': 36, 'y': 202, 'size': 2}, {'x': 24, 'y': 208, 'size': 2}, {'x': 25, 'y': 216, 'size': 2}, {'x': 25, 'y': 219, 'size': 2}, {'x': 21, 'y': 220, 'size': 2}, {'x': 11, 'y': 313, 'size': 2}, {'x': 36, 'y': 313, 'size': 2}, {'x': 6, 'y': 338, 'size': 2}, {'x': 31, 'y': 342, 'size': 2}, {'x': 25, 'y': 363, 'size': 2}, {'x': 19, 'y': 385, 'size': 2}, {'x': 24, 'y': 392, 'size': 2}, {'x': 33, 'y': 401, 'size': 2}, {'x': 10, 'y': 419, 'size': 2}, {'x': 2, 'y': 424, 'size': 2}, {'x': 28, 'y': 429, 'size': 2}, {'x': 34, 'y': 438, 'size': 2}, {'x': 34, 'y': 441, 'size': 2}, {'x': 5, 'y': 449, 'size': 2}, {'x': 6, 'y': 455, 'size': 2}]"
